test group,test name,loop counter,send time,answer time,message,trace hops
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,0,0:00:00.000116,0:00:00.243597,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,1,0:00:00.000077,0:00:00.306619,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,2,0:00:00.000056,0:00:00.306511,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,3,0:00:00.000060,0:00:00.307480,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,4,0:00:00.000056,0:00:00.306816,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,5,0:00:00.000053,0:00:00.306915,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,6,0:00:00.000127,0:00:00.306851,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,7,0:00:00.000058,0:00:00.308578,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,8,0:00:00.000054,0:00:00.305595,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,9,0:00:00.000085,0:00:00.306964,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,10,0:00:00.000059,0:00:00.309195,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,11,0:00:00.000059,0:00:00.305494,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,12,0:00:00.000052,0:00:00.306503,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,13,0:00:00.000077,0:00:00.306513,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,14,0:00:00.000054,0:00:00.307240,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,15,0:00:00.000058,0:00:00.307192,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,16,0:00:00.000053,0:00:00.307144,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,17,0:00:00.000055,0:00:00.307303,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,18,0:00:00.000059,0:00:00.306518,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,19,0:00:00.000057,0:00:00.306976,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,20,0:00:00.000055,0:00:00.308376,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,21,0:00:00.000077,0:00:00.306122,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,22,0:00:00.000055,0:00:00.306778,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,23,0:00:00.000059,0:00:00.308210,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,24,0:00:00.000054,0:00:00.306438,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,25,0:00:00.000073,0:00:00.306108,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,26,0:00:00.000055,0:00:00.307594,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,27,0:00:00.000058,0:00:00.306528,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,28,0:00:00.000056,0:00:00.225055,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,29,0:00:00.000055,0:00:00.286937,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,30,0:00:00.000060,0:00:00.311930,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,31,0:00:00.000064,0:00:00.301889,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,32,0:00:00.000056,0:00:00.306971,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,33,0:00:00.000047,0:00:00.306754,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,34,0:00:00.000084,0:00:00.307316,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,35,0:00:00.000054,0:00:00.307120,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,36,0:00:00.000057,0:00:00.306867,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,37,0:00:00.000057,0:00:00.311677,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,38,0:00:00.000054,0,timed out,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,39,0:00:00.000061,0:00:00.317451,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,40,0:00:00.000060,0:00:00.307087,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,41,0:00:00.000054,0:00:00.307522,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,42,0:00:00.000056,0:00:00.307132,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,43,0:00:00.000055,0:00:00.306347,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,44,0:00:00.000065,0:00:00.308212,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,45,0:00:00.000053,0:00:00.305831,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,46,0:00:00.000057,0:00:00.226182,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,47,0:00:00.000053,0,timed out,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,48,0:00:00.000072,0:00:00.298770,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,49,0:00:00.000056,0:00:00.306980,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,50,0:00:00.000053,0:00:00.306009,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,51,0:00:00.000056,0:00:00.306636,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,52,0:00:00.000073,0:00:00.308176,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,53,0:00:00.000065,0:00:00.306176,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,54,0:00:00.000053,0:00:00.306975,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,55,0:00:00.000059,0:00:00.308078,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,56,0:00:00.000057,0:00:00.305912,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,57,0:00:00.000057,0:00:00.308279,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,58,0:00:00.000049,0:00:00.305862,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,59,0:00:00.000057,0:00:00.306909,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,60,0:00:00.000051,0:00:00.308675,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,61,0:00:00.000057,0:00:00.308217,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,62,0:00:00.000055,0:00:00.304306,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,63,0:00:00.000060,0:00:00.307086,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,64,0:00:00.000054,0:00:00.306748,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,65,0:00:00.000088,0:00:00.308020,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,66,0:00:00.000092,0:00:00.305843,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,67,0:00:00.000084,0:00:00.307402,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,68,0:00:00.000055,0:00:00.308866,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,69,0:00:00.000056,0:00:00.239075,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,70,0:00:00.000058,0:00:00.226827,912,30
andreas-ubuntu-athome-vpncanada,andreas-ubuntu-athome-vpncanada-1000,71,0:00:00.000059,0:00:00.248556,912,30
