test group,test name,loop counter,send time,answer time,message,trace hops
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,0,0:00:00.000086,0:00:00.003503,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,1,0:00:00.000052,0:00:00.001783,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,2,0:00:00.000040,0:00:00.001915,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,3,0:00:00.000041,0:00:00.001881,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,4,0:00:00.000023,0:00:00.002008,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,5,0:00:00.000028,0:00:00.001986,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,6,0:00:00.000051,0:00:00.002469,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,7,0:00:00.000045,0:00:00.002614,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,8,0:00:00.000043,0:00:00.002392,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,9,0:00:00.000031,0:00:00.001622,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,10,0:00:00.000024,0:00:00.002155,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,11,0:00:00.000034,0:00:00.001543,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,12,0:00:00.000022,0:00:00.002173,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,13,0:00:00.000031,0:00:00.001827,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,14,0:00:00.000028,0:00:00.002397,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,15,0:00:00.000020,0:00:00.004248,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,16,0:00:00.000026,0:00:00.002186,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,17,0:00:00.000019,0:00:00.001882,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,18,0:00:00.000017,0:00:00.002135,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,19,0:00:00.000018,0:00:00.001805,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,20,0:00:00.000027,0:00:00.001888,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,21,0:00:00.000031,0:00:00.002146,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,22,0:00:00.000059,0:00:00.002788,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,23,0:00:00.000041,0:00:00.002013,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,24,0:00:00.000027,0:00:00.002558,27,8
andreas-ubuntu-eduroam,andreas-ubuntu-eduroam-1000,25,0:00:00.000027,0:00:00.002241,27,8
