test group,test name,loop counter,send time,answer time,message,trace hops
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,0,0:00:00.000074,0:00:00.203925,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,1,0:00:00.000062,0:00:00.204512,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,2,0:00:00.000056,0:00:00.204170,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,3,0:00:00.000029,0:00:00.204746,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,4,0:00:00.000066,0:00:00.123806,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,5,0:00:00.000058,0:00:00.093820,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,6,0:00:00.000064,0:00:00.191741,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,7,0:00:00.000074,0:00:00.204572,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,8,0:00:00.000064,0:00:00.204605,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,9,0:00:00.000063,0:00:00.204507,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,10,0:00:00.000092,0:00:00.204810,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,11,0:00:00.000069,0:00:00.131450,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,12,0:00:00.000062,0:00:00.175224,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,13,0:00:00.000060,0:00:00.204465,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,14,0:00:00.000052,0:00:00.204807,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,15,0:00:00.000062,0:00:00.204603,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,16,0:00:00.000057,0:00:00.204713,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,17,0:00:00.000063,0:00:00.204628,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,18,0:00:00.000060,0:00:00.205299,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,19,0:00:00.000060,0:00:00.204064,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,20,0:00:00.000063,0:00:00.205885,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,21,0:00:00.000075,0:00:00.203178,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,22,0:00:00.000062,0:00:00.204722,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,23,0:00:00.000092,0:00:00.204304,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,24,0:00:00.000073,0:00:00.205012,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,25,0:00:00.000072,0:00:00.203977,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,26,0:00:00.000058,0:00:00.205001,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,27,0:00:00.000060,0:00:00.205185,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,28,0:00:00.000076,0:00:00.204256,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,29,0:00:00.000063,0:00:00.204685,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,30,0:00:00.000094,0:00:00.204442,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,31,0:00:00.000062,0:00:00.204787,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,32,0:00:00.000063,0:00:00.204123,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,33,0:00:00.000061,0:00:00.307830,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,34,0:00:00.000069,0:00:00.204045,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,35,0:00:00.000081,0:00:00.308118,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,36,0:00:00.000062,0:00:00.204342,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,37,0:00:00.000061,0:00:00.204074,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,38,0:00:00.000063,0:00:00.204271,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,39,0:00:00.000061,0:00:00.204773,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,40,0:00:00.000057,0:00:00.204570,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,41,0:00:00.000072,0:00:00.204314,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,42,0:00:00.000064,0:00:00.205065,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,43,0:00:00.000062,0:00:00.204751,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,44,0:00:00.000058,0:00:00.204656,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,45,0:00:00.000061,0:00:00.204386,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,46,0:00:00.000062,0:00:00.204497,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,47,0:00:00.000064,0:00:00.204581,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,48,0:00:00.000061,0:00:00.205032,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,49,0:00:00.000062,0:00:00.203991,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,50,0:00:00.000060,0:00:00.205034,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,51,0:00:00.000061,0:00:00.203902,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,52,0:00:00.000072,0:00:00.205268,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,53,0:00:00.000073,0:00:00.204408,912,30
andreas-ubuntu-hotspot,andreas-ubuntu-hotspot-100,54,0:00:00.000076,0:00:00.204843,912,30
