test group,test name,loop counter,send time,answer time,message,trace hops
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,0,0:00:00.000083,0:00:01.068624,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,1,0:00:00.000059,0:00:02.368790,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,2,0:00:00.000054,0:00:03.565997,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,3,0:00:00.000059,0:00:01.040880,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,4,0:00:00.000091,0:00:02.303588,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,5,0:00:00.000056,0:00:04.032134,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,6,0:00:00.000056,0:00:01.023350,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,7,0:00:00.000070,0:00:02.368139,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,8,0:00:00.000054,0:00:04.095958,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,9,0:00:00.000064,0:00:01.022896,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,10,0:00:00.000088,0:00:00.313904,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,11,0:00:00.000053,0:00:01.800689,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,12,0:00:00.000075,0:00:02.007597,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,13,0:00:00.000046,0:00:00.996998,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,14,0:00:00.000052,0:00:01.936651,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,15,0:00:00.000052,0:00:01.006093,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,16,0:00:00.000048,0:00:02.433009,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,17,0:00:00.000070,0:00:00.630667,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,18,0:00:00.000067,0:00:01.000683,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,19,0:00:00.000052,0:00:01.000314,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,20,0:00:00.000047,0:00:01.002026,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,21,0:00:00.000061,0:00:02.992942,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,22,0:00:00.000062,0:00:01.990295,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,23,0:00:00.000056,0:00:03.926007,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,24,0:00:00.000066,0,timed out,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,25,0:00:00.000072,0:00:01.074090,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,26,0:00:00.000070,0:00:02.367815,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,27,0:00:00.000054,0:00:02.816153,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,28,0:00:00.000096,0:00:02.007701,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,29,0:00:00.000053,0:00:02.087889,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,30,0:00:00.000049,0,timed out,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,31,0:00:00.000085,0,timed out,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,32,0:00:00.000072,0,timed out,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,33,0:00:00.000076,0:00:00.696855,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,34,0:00:00.000053,0:00:04.512882,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,35,0:00:00.000053,0,timed out,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,36,0:00:00.000076,0:00:00.498175,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,37,0:00:00.000050,0:00:01.506739,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,38,0:00:00.000051,0:00:04.000370,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,39,0:00:00.000049,0:00:01.021798,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,40,0:00:00.000064,0:00:00.303416,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,41,0:00:00.000063,0:00:00.687161,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,42,0:00:00.000089,0:00:01.216857,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,43,0:00:00.000060,0:00:00.895621,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,44,0:00:00.000051,0:00:01.023544,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,45,0:00:00.000049,0:00:02.271162,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,46,0:00:00.000081,0:00:01.792808,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,47,0:00:00.000070,0:00:01.023385,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,48,0:00:00.000125,0:00:02.303047,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,49,0:00:00.000066,0:00:03.999955,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,50,0:00:00.000067,0:00:01.023492,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,51,0:00:00.000083,0:00:01.915697,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,52,0:00:00.000064,0:00:02.275899,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,53,0:00:00.000060,0:00:01.799794,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,54,0:00:00.000075,0:00:01.018784,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,55,0:00:00.000053,0:00:00.690120,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,56,0:00:00.000061,0:00:01.994685,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,57,0:00:00.000059,0:00:03.551362,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,58,0:00:00.000097,0,timed out,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,59,0:00:00.000093,0:00:01.043021,27,30
andreas-ubuntu-hotspot-vpncanada,andreas-ubuntu-hotspot-vpncanada-1000,60,0:00:00.000055,0:00:04.159073,27,30
